ID	CNPJ	Nome Reduzido	Município	CEP	Bairro	Logradouro	Número	Complemento	Telefone	Email	Vagas Estacionamento	Coordenador Regional	Coordenador Distrital	Servidor IP	UF
44	88212113004784	MONTENEGRO 1	MONTENEGRO	92510110	CENTRO - CENTRO	RUA RAMIRO BARCELOS	1701		5136491010	montenegro@farmaciassaojoao.com.br	0	TAMIRES PRISCILA VINGERT	LUIZ CARLOS KUHN	10.0.44.254	RS
45	88212113004601	PELOTAS 2	PELOTAS	96015000	CENTRO	RUA QUINZE DE NOVEMBRO	601		5332275555	pelotas2@farmaciassaojoao.com.br	0	ARON PIRES MONTEIRO	JULIANO PETRACA IRUZUN	10.0.45.254	RS
46	88212113004865	CAXIAS 1	CAXIAS DO SUL	95010002	CENTRO	AV JULIO DE CASTILHOS	2534	LJ 03	5432021515	caxias@farmaciassaojoao.com.br	0	RAFAEL CONSTANTE	FABIO CHIES BALDASSO	10.0.46.254	RS
47	88212113004946	SAO BORJA 1	SAO BORJA	97670000	CENTRO	RUA GENERAL OSORIO	2179		5534300060	saoborja@farmaciassaojoao.com.br	5	RAFAEL GAYER MENDES	JULIANO PETRACA IRUZUN	10.0.47.254	RS
48	88212113005080	RIO GRANDE 2	RIO GRANDE	96200003	CENTRO	RUA VINTE E QUATRO DE MAIO	406		5332306300	riogrande2@farmaciassaojoao.com.br	13	DIENE MARIENE DE ARAUJO SOARES	JULIANO PETRACA IRUZUN	10.0.48.254	RS
49	88212113005241	PF VERA CRUZ 1	PASSO FUNDO	99040000	VERA CRUZ	AV RIO GRANDE	442	SL 01	5433139191	veracruz@farmaciassaojoao.com.br	0	CAMILA COLETTO MAY	FAIS HUSEIN ABDALLA	10.0.49.254	RS
50	88212113005160	RIO GRANDE 3	RIO GRANDE	96200370	CENTRO	RUA GENERAL BACELAR	291		5332307400	riogrande3@farmaciassaojoao.com.br	0	DIENE MARIENE DE ARAUJO SOARES	JULIANO PETRACA IRUZUN	10.0.50.254	RS
51	88212113005322	CANGUCU 1	CANGUCU	96600000	CENTRO	RUA GENERAL OSORIO	1063		5332521496	cangucu@farmaciassaojoao.com.br	0	DIEISSON SILVA TONDO	JULIANO PETRACA IRUZUN	10.0.51.254	RS
52	88212113005403	CAMAQUA 1	CAMAQUA	96180000	CENTRO	RUA OLAVO MORAES	824	SL 01	5136710808	camaqua@farmaciassaojoao.com.br	0	FERNANDA JARDIM MEIRELES	LARISSA TAMARA DOS SANTOS	10.0.52.254	RS
53	88212113005594	STA MARIA 4	SANTA MARIA	97050000	CENTRO	RUA DO ACAMPAMENTO	136	SL 02	5530264633	santamaria4@farmaciassaojoao.com.br	0	MONICA GRACIELA FERNANDES DA SILVEIRA	TIAGO ANGELO MACHADO	10.0.53.254	RS
54	88212113005837	IJUI 1	IJUI	98700000	CENTRO	RUA DO COMERCIO	390		5533318000	ijui@farmaciassaojoao.com.br	0	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.54.254	RS
55	88212113005675	IJUI 2	IJUI	98700000	CENTRO	AV DAVID JOSE MARTINS	121		5533323444	ijui2@farmaciassaojoao.com.br	0	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.55.254	RS
56	88212113005756	IJUI 3	IJUI	98700000	CENTRO	RUA XV DE NOVEMBRO	311		5333335806	ijui3@farmaciassaojoao.com.br	0	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.56.254	RS
57	88212113005918	IJUI 4	IJUI	98700000	CENTRO	RUA 13 DE MAIO	308		5533335803	ijui4@farmaciassaojoao.com.br	0	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.57.254	RS
58	88212113006809	PF SAO CRISTOVAO 2	PASSO FUNDO	99070000	VILA RODRIGUES	AV PRESIDENTE VARGAS	1020		5433131155	saocristovao2@farmaciassaojoao.com.br	20	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.58.254	RS
59	88212113006051	RIO GRANDE 4	RIO GRANDE	96216000	PARQUE RESID. JARDIM DO SOL	AV JOAO OLIVEIRA	330		5332304040	riogrande4@farmaciassaojoao.com.br	17	DIENE MARIENE DE ARAUJO SOARES	JULIANO PETRACA IRUZUN	10.0.59.254	RS
60	88212113006213	CRUZ ALTA 1	CRUZ ALTA	98005128	CENTRO	R BARAO DO RIO BRANCO	1344		5531970084	cruzalta@farmaciassaojoao.com.br	41	LENIN PEREIRA BRITES	TIAGO ANGELO MACHADO	10.0.60.254	RS
61	88212113006302	PANAMBI 1	PANAMBI	98280000	CENTRO	RUA SETE DE SETEMBRO	107	SL B	5533757777	panambi@farmaciassaojoao.com.br	12	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.61.254	RS
62	88212113006485	IBIRUBA 1	IBIRUBA	98200000	CENTRO	RUA GENERAL OSORIO	1005	SL 06 E 07	5433243701	ibiruba@farmaciassaojoao.com.br	0	TATIANE ROHRIG	TIAGO ANGELO MACHADO	10.0.62.254	RS
63	88212113006566	PELOTAS 3	PELOTAS	96020000	CENTRO	R GENERAL OSORIO	1045		5332291333	pelotas3@farmaciassaojoao.com.br	20	ARON PIRES MONTEIRO	JULIANO PETRACA IRUZUN	10.0.63.254	RS
64	88212113006728	TAPEJARA 1	TAPEJARA	99950000	CENTRO	RUA DO COMERCIO	1133		5433442424	tapejara@farmaciassaojoao.com.br	8	GESSICA PERIN	FAIS HUSEIN ABDALLA	10.0.64.254	RS
65	88212113006647	TAQUARA 1	TAQUARA	95600000	CENTRO	RUA JULIO DE CASTILHOS	2610	ESQ GUIL LAHM	5135415959	taquara@farmaciassaojoao.com.br	0	PATRICIA CARDOZO EITELVEIN	LUIZ CARLOS KUHN	10.0.65.254	RS
66	88212113006132	PF RODOVIARIA 1	PASSO FUNDO	99010270	CENTRO	RUA ANGELO PRETO	158	LJ 01	5433135592	rodoviaria@farmaciassaojoao.com.br	8	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.66.254	RS
67	88212113007023	FREDERICO 1	FREDERICO WESTPHALEN	98400000	CENTRO	RUA DO COMERCIO	610	SL 01 E 02	5537446363	frederico@farmaciassaojoao.com.br	0	GRACIELE SILVEIRA	FAIS HUSEIN ABDALLA	10.0.67.254	RS
68	88212113007104	SAO LOUREN DO SUL 1	SAO LOURENCO DO SUL	96170000	CENTRO	RUA CEL ALFREDO BORN	525		5332511400	saolourenco@farmaciassaojoao.com.br	0	DIEISSON SILVA TONDO	JULIANO PETRACA IRUZUN	10.0.68.254	RS
69	88212113007295	JAGUARAO 1	JAGUARAO	96300000	CENTRO	AV. 27 DE JANEIRO	484		5332611212	jaguarao@farmaciassaojoao.com.br	0	DIEISSON SILVA TONDO	JULIANO PETRACA IRUZUN	10.0.69.254	RS
70	88212113006990	PF NOTRE DAME 1	PASSO FUNDO	99025002	CENTRO	AV BRASIL OESTE	981	SALA TERREA FARMACIA	5433147070	notredame@farmaciassaojoao.com.br	13	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.70.254	RS
71	88212113007880	CHAPECO 3	CHAPECO	89801000	CENTRO	AV GETULIO DORNELLES VARGAS	359		4933283464	chapeco3@farmaciassaojoao.com.br	0	PRISCILA MACHADO	FAIS HUSEIN ABDALLA	10.0.71.254	SC
72	88212113007376	VACARIA 3	VACARIA	95200016	CENTRO	AV MOREIRA PAZ	457	LJ 01	5432312223	vacaria3@farmaciassaojoao.com.br	0	RAFAEL DOS SANTOS DRUZZIAN	FABIO CHIES BALDASSO	10.0.72.254	RS
73	88212113007457	FLORES DA CUNHA 1	FLORES DA CUNHA,	95270000	CENTRO	AV 25 DE JULHO	1470		5432923636	floresdacunha@farmaciassaojoao.com.br	0	TALINE CORSO	FABIO CHIES BALDASSO	10.0.73.254	RS
74	88212113007538	URUGUAIANA 2	URUGUAIANA	97501636	CENTRO	RUA GENERAL BENTO MARTIN	2954		5534133534	uruguaiana2@farmaciassaojoao.com.br	0	RAFAEL GAYER MENDES	JULIANO PETRACA IRUZUN	10.0.74.254	RS
75	88212113007619	STO ANGELO 1	SANTO ANGELO	98801640	CENTRO	R MARQUES DO HERVAL	1634	SALA 01 FARMACIA	5533128080	santoangelo@farmaciassaojoao.com.br	0	EVERTON JOSE ELEGDA	JULIANO PETRACA IRUZUN	10.0.75.254	RS
76	88212113007708	PELOTAS 4	PELOTAS	96015440	CENTRO	RUA MARECHAL FLORIANO	123		5332293030	pelotas4@farmaciassaojoao.com.br	0	ARON PIRES MONTEIRO	JULIANO PETRACA IRUZUN	10.0.76.254	RS
77	88212113007961	PORTO ALEGRE 1	PORTO ALEGRE	90160002	AZENHA	AV AZENHA	875	SL 01	5132316060	portoalegre1@farmaciasaojoao.com.br	0	LUCIANO CONCEICAO DA SILVA	LARISSA TAMARA DOS SANTOS	10.0.77.254	RS
78	88212113008003	CANDELARIA 1	CANDELARIA	96930000	CENTRO	AV PEREIRA REGO	1409		5137432727	candelaria@farmaciassaojoao.com.br	2	JESSICA LETICIE FERREIRA INOCENTI	TIAGO ANGELO MACHADO	10.0.78.254	RS
79	88212113008348	IJUI 5	IJUI	98700000	SOL NASCENTE	AV DAVI JOSE MARTINS	1235		5533311268	ijui5@farmaciassaojoao.com.br	7	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.79.254	RS
80	88212113008186	SOLEDADE 1	SOLEDADE	99300000	CENTRO	AV MARECHAL FLORIANO PEIXOTO	718		5433815656	soledade@farmaciassaojoao.com.br	8	TATIANE ROHRIG	TIAGO ANGELO MACHADO	10.0.80.254	RS
81	88212113008267	CAPAO DA CANOA 1	CAPAO DA CANOA	95555000	CENTRO	AV PARAGUASSU	2361	FARMACIA	5136251771	capaodacanoa@farmaciassaojoao.com.br	0	PAULO XAVIER	ANDRE LAURI MARQUES JAIME	10.0.81.254	RS
82	88212113008429	VACARIA 4	VACARIA	95200094	CENTRO	RUA JULIO DE CASTILHOS	1545		5432329787	vacaria4@farmaciassaojoao.com.br	0	RAFAEL DOS SANTOS DRUZZIAN	FABIO CHIES BALDASSO	10.0.82.254	RS
84	88212113008771	STA MARIA 5	SANTA MARIA	97032000	TANCREDO NEVES	R PAULO LAUDA	530	SL 02	5532863030	santamaria5@farmaciassaojoao.com.br	0	MONICA GRACIELA FERNANDES DA SILVEIRA	TIAGO ANGELO MACHADO	10.0.84.254	RS
85	88212113008690	CONCORDIA 2	CONCORDIA	89700083	CENTRO	R DO COMERCIO	62	SL 01 A	4934420003	concordia2@farmaciassaojoao.com.br	0	PRISCILA MACHADO	FAIS HUSEIN ABDALLA	10.0.85.254	SC
86	88212113008500	PF TEIXEIRA 3	PASSO FUNDO	99010081	CENTRO	RUA TEIXEIRA SOARES	1785	ESQ RUA URUGUAI	5430457075	pfteixeira3@farmaciassaojoao.com.br	0	CAMILA COLETTO MAY	FAIS HUSEIN ABDALLA	10.0.86.254	RS
87	88212113008852	CACHOEIRA 2	CACHOEIRA DO SUL	96508011	CENTRO	RUA SETE DE SETEMBRO	1265		5137227070	cachoeira2@farmaciassaojoao.com.br	0	JESSICA LETICIE FERREIRA INOCENTI	TIAGO ANGELO MACHADO	10.0.87.254	RS
88	88212113008933	CAMAQUA 2	CAMAQUA	96780046	CENTRO	RUA PRESIDENTE VARGAS	461	TERREOFARMACIA	5136712108	camaqua2@farmaciassaojoao.com.br	0	FERNANDA JARDIM MEIRELES	LARISSA TAMARA DOS SANTOS	10.0.88.254	RS
89	88212113009077	CAPAO DA CANOA 2	CAPAO DA CANOA	95555000	CENTRO	AV PARAGUASSU	1984	SL 03	5136655600	capaodacanoa2@farmaciassaojoao.com.br	0	PAULO XAVIER	ANDRE LAURI MARQUES JAIME	10.0.89.254	RS
90	88212113009158	RIO GRANDE 5	RIO GRANDE	96207000	CASSINO	AV RIO GRANDE	91	SL 01	5332363500	riogrande5@farmaciassaojoao.com.br	0	DIENE MARIENE DE ARAUJO SOARES	JULIANO PETRACA IRUZUN	10.0.90.254	RS
93	88212113009409	SAO GABRIEL 2	SAO GABRIEL	97300226	CENTRO	RUA DUQUE DE CAXIAS	178	SL 01	5532323600	saogabriel2@farmaciassaojoao.com.br	0	ANDRESSA NUNES BIASI	JULIANO PETRACA IRUZUN	10.0.93.254	RS
94	88212113009581	TAPES 1	TAPES	96760000	CENTRO	R FELISSIMO DE ALFONSIN	740		5136724040	tapes@farmaciassaojoao.com.br	15	FERNANDA JARDIM MEIRELES	LARISSA TAMARA DOS SANTOS	10.0.94.254	RS
95	88212113009662	CAXIAS 2	CAXIAS DO SUL	95020450	NOSSA SENHORA DE LOURDES	VINTE DE SETEMBRO	2365		5432216060	caxias2@farmaciassaojoao.com.br	0	JAMES DE VARGAS RODRIGUES	FABIO CHIES BALDASSO	10.0.95.254	RS
96	88212113009743	CRUZ ALTA 2	CRUZ ALTA	98005000	CENTRO	RUA DUQUE DE CAXIAS	679		5533263141	cruzalta2@farmaciassaojoao.com.br	47	LENIN PEREIRA BRITES	TIAGO ANGELO MACHADO	10.0.96.254	RS
98	88212113009905	TEUTONIA 1	TEUTENIA	95890000	LANGUIRU	RUA MAJOR BANDEIRA	740	ESQUINA RUA TRES DE OUTUBRO	5137621177	teutonia@farmaciassaojoao.com.br	10	WAGNER PAZ SCHUCK	TIAGO ANGELO MACHADO	10.0.98.254	RS
99	88212113010083	LAJEADO 1	LAJEADO	95900022	CENTRO	RUA JULIO DE CASTILHOS	957	LJ 01	5137101155	lajeado@farmaciassaojoao.com.br	10	WAGNER PAZ SCHUCK	TIAGO ANGELO MACHADO	10.0.99.254	RS
100	88212113000100	PF MATRIZ	PASSO FUNDO	99025001	CENTRO	AV BRASIL OESTE	665		5433177070	matriz@farmaciassaojoao.com.br	14	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.100.254	RS
104	88212113002498	INFORMATICA	PASSO FUNDO	99064440	SAO CRISTOVAO	AV P CORONEL JARBAS QUADROS DA S	3701		5433350105	notaeletronica@farmaciassaojoao.com.br	0	PEDRO HENRIQUE KAPPAUN BRAIR	PEDRO HENRIQUE KAPPAUN BRAIR	192.168.0.92	RS
116	88212113010164	CAXIAS 72	CAXIAS DO SUL	95020515	SAO PELEGRINO	RUA MOREIRA CESAR	2747		5432146060	caxiasdosul72@farmaciassaojoao.com.br	0	CAMILO MADEIRA SANTIAGO	FABIO CHIES BALDASSO	10.0.116.254	RS
117	88212113010245	CAXIAS 4	CAXIAS DO SUL	95010005	CENTRO	AV JULIO DE CASTILHOS	2411		5432141082	caxias4@farmaciassaojoao.com.br	0	CAMILO MADEIRA SANTIAGO	FABIO CHIES BALDASSO	10.0.117.254	RS
118	88212113010326	ROLANTE 1	ROLANTE	95690000	CENTRO	AV BORGES DE MEDEIROS	2040		5135471757	rolante@farmaciassaojoao.com.br	30	ANDREA URRUTH DE LIMA	ANDRE LAURI MARQUES JAIME	10.0.118.254	RS
119	88212113010750	PELOTAS 5	PELOTAS	96015145	CENTRO	AV BENTO GONCALVES	4193		5332250027	pelotas5@farmaciassaojoao.com.br	20	ARON PIRES MONTEIRO	JULIANO PETRACA IRUZUN	10.0.119.254	RS
121	88212113010598	ARROIO GRANDE 1	ARROIO GRANDE	96330000	CENTRO	AVENIDA VISCONDE DE MAUA	383		5330160018	arroiogrande@farmaciassaojoao.com.br	0	DIEISSON SILVA TONDO	JULIANO PETRACA IRUZUN	10.0.121.254	RS
122	88212113010407	VENANCIO 1	VENANCIO AIRES	95800000	CENTRO	RUA OSVALDO ARANHA	935		5137417070	venancio@farmaciassaojoao.com.br	0	PEDRO WUNDERLICH BORGES	TIAGO ANGELO MACHADO	10.0.122.254	RS
123	88212113010911	TRAMANDAI 1	TRAMANDAI	95590000	CENTRO	AVENIDA EMANCIPACAO	265		5136841699	tramandai@farmaciassaojoao.com.br	0	ANDREA URRUTH DE LIMA	ANDRE LAURI MARQUES JAIME	10.0.123.254	RS
124	88212113010830	CHARQUEADAS 1	CHARQUEADA	96745000	CENTRO	AV BENTO GONCALVES	781		5136587450	charqueadas@farmaciassaojoao.com.br	4	DANIELA MACHADO DOS SANTOS	ANDRE LAURI MARQUES JAIME	10.0.124.254	RS
125	88212113011055	PIRATINI 1	PIRATINI	96490000	CENTRO	AV GOMES JARDIM	162		5332571099	piratini@farmaciassaojoao.com.br	0	DIEISSON SILVA TONDO	JULIANO PETRACA IRUZUN	10.0.125.254	RS
126	88212113011136	CAXIAS 3	CAXIAS DO SUL	95097000	RIO BRANCO	RUA GENERAL SAMPAIO	8		5432231717	caxias3@farmaciassaojoao.com.br	3	RAFAEL CONSTANTE	FABIO CHIES BALDASSO	10.0.126.254	RS
127	88212113011217	TORRES 1	TORRES	95560000	CENTRO	AVENIDA BARAO DO RIO BRANCO	152		5136263939	torres@farmaciassaojoao.com.br	0	JOÃO CHEMIN	ANDRE LAURI MARQUES JAIME	10.0.127.254	RS
128	88212113011306	PALMEIRA 2	PALMEIRA DAS MISSOES	98300000	CENTRO	AV INDEPENDENCIA	725		5537420077	palmeira2@farmaciassaojoao.com.br	17	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.128.254	RS
129	88212113011489	LIVRAMENTO 1	SANTANA DO LIVRAMENTO	97573565	CENTRO	RUA DOS ANDRADAS	39		5532421808	livramento@farmaciassaojoao.com.br	0	MARCIO FERREIRA PRUCIANO	JULIANO PETRACA IRUZUN	10.0.129.254	RS
130	88212113011640	PORTO ALEGRE 2	PORTO ALEGRE	90020013	CENTRO HISTORICO	R DOS ANDRADAS	1665	LJ 01	5132263107	portoalegre2@farmaciassaojoao.com.br	0	RAFAEL BRAZ KOVALSKI	LARISSA TAMARA DOS SANTOS	10.0.130.254	RS
